Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C13",C_0402,2,10uF,C15525
"C10, C11, C14, C2, C3, C4, C5, C6, C7, C9",C_0402,10,100nF,C1525
"C12, C15, C8",C_0402,3,1uF,C52923
"C17, C18",C_0402,2,20pF,C1554
"C19, C20",C_0402,2,12pF,C1547
"D1, D3",D_SMA,2,SS33,C28646294
D2,D_0603,1,Red,C2286
D4,D_0603,1,Yellow,C89811
"J3, J4",PinHeader_2x03_P2.54mm_Vertical,2,Conn_02x03_Odd_Even,
J5,TYPE-C-SMD_HX-TYPE-C-16PIN,1,"Connector, USB-TYPE-C-16P",C2927039
"J_BTN5, J_BTN6, J_BTN7, J_BTN8",JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,4,JST PH 2-pin 2mm,
"J_IN2, J_OUT2",JST_PH_B3B-PH-SM4-TB_1x03-1MP_P2.00mm_Vertical,2,JST PH 3-pin 2mm,
"Q1, Q2, Q3",Q_SOT-23,3,BSS138,C7420339
"R1, R10, R11, R16, R17, R18, R19, R20, R21, R9",R_0402,10,10kΩ,C25744
R14,R_0402,1,4.7kΩ,C25900
"R2, R5",R_0402,2,5.1kΩ,C25905
"R22, R4",R_0402,2,330Ω,C25104
"R23, R8",R_0603,2,20Ω,C22950
R3,R_0402,1,1MΩ,C26083
"R6, R7",R_0402,2,100kΩ,C25741
S1,SW_TS-1088-AR02016,1,"Tactile Button, 160gf",C720477
U1,LQFP-48_7x7mm_P0.5mm,1,STM32F103C8T6,C8734
U2,SOT-223-3_TabPin2,1,U_REG LD1117S50TR_SOT223,
U3,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,1,AMS1117,C6186
U4,VSSOP-8_2.3x2mm_P0.5mm,1,74LVC2G241,
X2,CRYSTAL-SMD_L5.0-W3.2,1,X50328MSB2GI,C115962
X3,FC-135R_L3.2-W1.5,1,Q13FC1350000400,C32346
