Designator,Mid X,Mid Y,Rotation,Layer
C1,112.9284,-70.5424,0.0,top
C10,91.2876,-66.9544,90.0,top
C11,91.3384,-78.5368,90.0,top
C12,124.3584,-61.8744,90.0,top
C13,117.856,-58.7676,270.0,top
C14,116.84,-58.928,270.0,top
C15,112.3776,-80.8736,0.0,top
C17,94.3864,-76.1672,90.0,top
C18,94.3356,-79.1564,270.0,top
C19,98.552,-72.2376,90.0,top
C2,85.4456,-47.5996,90.0,top
C20,98.552,-74.1172,90.0,top
C3,100.33,-71.2724,90.0,top
C4,101.9556,-71.2644,90.0,top
C5,101.1428,-71.2644,90.0,top
C6,99.5172,-71.2804,90.0,top
C7,102.9208,-63.5508,270.0,top
C8,104.5972,-63.3048,270.0,top
C9,112.9284,-71.4568,0.0,top
D1,106.8832,-65.024,270.0,top
D2,92.6084,-72.5932,90.0,top
D3,119.888,-68.3768,180.0,top
D4,94.234,-72.5932,90.0,top
J3,110.6424,-52.7304,180.0,top
J4,100.6348,-52.7304,0.0,top
J5,119.0888,-75.4192,90.0,top
J_BTN5,86.7664,-88.646,180.0,top
J_BTN6,97.0164,-88.646,180.0,top
J_BTN7,107.2664,-88.646,180.0,top
J_BTN8,117.5164,-88.646,180.0,top
J_IN2,86.9616,-66.1416,90.0,top
J_OUT2,87.0124,-77.6224,90.0,top
Q1,93.4104,-58.1916,270.0,top
Q2,88.7854,-58.1916,270.0,top
Q3,84.1604,-58.1916,270.0,top
R1,102.9208,-65.4812,90.0,top
R10,104.0384,-66.1416,90.0,top
R11,89.2556,-62.6364,0.0,top
R14,113.6988,-73.172,0.0,top
R16,93.3704,-55.7784,0.0,top
R17,101.5785,-61.8488,180.0,top
R18,88.7476,-55.7276,0.0,top
R19,98.0733,-61.8488,0.0,top
R2,119.7356,-81.5848,270.0,top
R20,84.074,-55.7784,0.0,top
R21,93.4505,-61.8488,0.0,top
R22,93.8276,-70.5104,180.0,top
R23,114.1464,-76.0276,180.0,top
R3,99.0092,-77.6224,270.0,top
R4,94.1912,-74.7268,180.0,top
R5,118.7788,-81.554,270.0,top
R6,117.094,-56.6928,90.0,top
R7,116.1796,-56.6928,270.0,top
R8,114.1476,-74.4728,180.0,top
R9,110.49,-80.8736,180.0,top
S1,112.4204,-83.1088,0.0,top
U1,105.6132,-76.0476,270.0,top
U2,112.5728,-65.6148,90.0,top
U3,120.3452,-61.6454,90.0,top
U4,97.2312,-65.9384,180.0,top
X2,96.6724,-77.724,90.0,top
X3,97.0788,-72.5116,90.0,top
